pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
518543,327.3841,15.107173,78.575304,15.038403,78.420664,15.175502,78.765708,1
518553,356.4867,15.005562,78.633582,14.900320,78.482536,15.089277,78.769485,1
518563,79.9027,15.301970,78.511890,15.247493,78.460441,15.349383,78.569058,1
560045,10.7086,13.036748,77.621410,13.007219,77.600716,13.066291,77.641512,1
518573,69.4278,15.272250,78.441818,15.216879,78.389697,15.318488,78.484283,1
713144,100.0948,23.454128,87.612367,23.406094,87.517447,23.501409,87.673422,1
384120,177.5324,23.682503,72.368417,23.622892,72.258037,23.743835,72.469215,1
515531,70.8745,14.064022,77.957594,14.021203,77.905087,14.108111,78.014750,1
313801,488.1068,24.314386,73.659963,24.154828,73.582844,24.493498,73.747651,1
515671,17.834,14.406221,77.715513,14.374950,77.689181,14.435074,77.739347,1
344043,694.7233,25.584856,72.505191,25.436110,72.249049,25.757834,72.720428,1
606205,80.386,11.843066,79.082122,11.795208,79.035982,11.913621,79.139498,1
518583,513.6705,15.400027,78.648227,15.305421,78.487743,15.514497,78.774256,1
518593,82.0244,15.406621,78.405477,15.355707,78.334574,15.453592,78.471344,1
518594,513.611,15.219361,78.632579,15.114131,78.498322,15.318561,78.769608,1
344044,724.9785,25.667510,72.386190,25.529881,72.233315,25.801299,72.566924,1
854334,503.9082,26.073197,87.176446,25.942232,87.060326,26.210354,87.317173,1
273004,16.7057,26.795196,83.377798,26.766956,83.358432,26.819662,83.397237,1
273005,9.552,26.751144,83.348575,26.733190,83.331167,26.765173,83.364755,1
273006,1.2468,26.769400,83.389028,26.761844,83.379528,26.776130,83.396679,1
273007,149.3333,26.851656,83.321536,26.791361,83.227189,26.911212,83.392585,1
679313,20.0858,10.793395,76.229845,10.772373,76.197875,10.813242,76.258894,1
518598,156.5943,15.396686,78.101832,15.336751,77.998075,15.468708,78.193821,1
847240,94.4634,26.616170,85.973204,26.563850,85.888376,26.666825,86.038324,1
795115,4.5115,24.783801,93.149914,24.773588,93.139700,24.796402,93.160904,1
518222,522.4524,15.398192,77.873994,15.278857,77.684293,15.559805,78.054394,1
797002,355.0734,25.650311,93.989632,25.551788,93.888220,25.780849,94.084822,1
273008,6.6371,26.746919,83.425384,26.731690,83.410986,26.759307,83.445315,1
273009,4.182,26.751237,83.393932,26.743280,83.379748,26.758703,83.413477,1
606208,86.5225,11.837646,78.936237,11.789703,78.881033,11.901840,78.987711,1
