pincode,n_offices,has_boundary,status
452045,0,1,retired
452046,0,1,retired
453552,0,1,retired
454129,0,1,retired
454345,0,1,retired
454350,0,1,retired
454365,0,1,retired
454448,0,1,retired
454648,0,1,retired
454749,0,1,retired
455048,0,1,retired
455220,0,1,retired
455311,0,1,retired
456011,0,1,retired
456012,0,1,retired
456013,0,1,retired
456015,0,1,retired
456016,0,1,retired
456018,0,1,retired
456019,0,1,retired
456020,0,1,retired
457111,0,1,retired
457227,0,1,retired
457551,0,1,retired
457769,0,1,retired
457893,0,1,retired
458474,0,1,retired
458660,0,1,retired
460005,0,1,retired
460550,0,1,retired
461222,0,1,retired
461235,0,1,retired
461251,0,1,retired
461335,0,1,retired
461444,0,1,retired
461772,0,1,retired
462012,0,1,retired
462021,0,1,retired
462032,0,1,retired
462040,0,1,retired
462048,0,1,retired
462050,0,1,retired
462051,0,1,retired
462052,0,1,retired
462053,0,1,retired
462054,0,1,retired
462055,0,1,retired
462060,0,1,retired
462061,0,1,retired
462062,0,1,retired
462063,0,1,retired
462064,0,1,retired
462100,0,1,retired
464002,0,1,retired
464334,0,1,retired
464570,0,1,retired
464573,0,1,retired
464670,0,1,retired
464995,0,1,retired
465331,0,1,retired
465695,0,1,retired
466117,0,1,retired
466119,0,1,retired
470111,0,1,retired
470122,0,1,retired
470662,0,1,retired
471202,0,1,retired
473338,0,1,retired
473445,0,1,retired
473583,0,1,retired
473785,0,1,retired
473993,0,1,retired
480000,0,1,retired
480002,0,1,retired
480118,0,1,retired
480121,0,1,retired
480442,0,1,retired
480443,0,1,retired
480554,0,1,retired
480556,0,1,retired
480664,0,1,retired
480668,0,1,retired
480992,0,1,retired
481002,0,1,retired
481340,0,1,retired
481554,0,1,retired
481566,0,1,retired
481883,0,1,retired
482007,0,1,retired
483050,0,1,retired
484447,0,1,retired
486004,0,1,retired
488101,0,1,retired
488224,0,1,retired
490027,0,1,retired
491224,0,1,retired
491230,0,1,retired
491996,0,1,retired
492006,0,1,retired
492007,0,1,retired
492011,0,1,retired
492016,0,1,retired
492017,0,1,retired
492111,0,1,retired
493211,0,1,retired
493334,0,1,retired
493446,0,1,retired
493884,0,1,retired
494005,0,1,retired
494237,0,1,retired
495002,0,1,retired
495011,0,1,retired
495444,0,1,retired
495453,0,1,retired
495549,0,1,retired
495558,0,1,retired
495678,0,1,retired
495681,0,1,retired
495685,0,1,retired
496114,0,1,retired
