pincode,primary_district,primary_state,n_districts,n_states,n_offices
852116,Madhepura,Bihar,2,1,8
852122,Madhepura,Bihar,2,1,20
852124,Saharsa,Bihar,2,1,20
852129,Saharsa,Bihar,2,1,12
852139,Supaul,Bihar,2,1,17
852202,Saharsa,Bihar,2,1,23
854102,Purnia,Bihar,2,1,14
854201,Purnia,Bihar,2,1,5
854202,Purnia,Bihar,2,1,18
854304,Purnia,Bihar,2,1,19
854333,Araria,Bihar,2,1,16
854334,Araria,Bihar,2,1,22
854337,Purnia,Bihar,2,1,7
