pincode,centroid_lat,centroid_lon,area_sqkm
124102,28.693531,76.641336,73.0222
124103,28.577172,76.605367,340.8966
124104,28.600979,76.717179,171.255
124105,28.552729,76.820084,123.4914
124106,28.557652,76.431142,224.6695
124107,28.763897,76.644778,125.0664
124108,28.441177,76.67238,167.4663
124109,28.497895,76.560128,167.9216
124111,28.956534,76.418075,129.879
124112,28.998952,76.294428,236.732
124113,28.806954,76.397366,180.2737
124141,28.468177,76.336488,90.5822
124142,28.930295,76.330227,50.1469
124146,28.487727,76.470785,139.9688
124201,28.722172,76.5691,105.4144
124202,28.674937,76.468956,199.5316
124303,29.015221,76.64072,171.8267
124401,28.936675,76.692548,183.2876
124404,28.846227,76.83022,52.088
124406,28.900238,76.790997,38.5799
124411,28.843113,76.470252,72.2039
124412,28.782581,76.50457,111.4307
124501,28.787391,76.75735,244.3349
124504,28.694707,76.718327,64.571
124505,28.769511,76.866971,130.1787
124506,28.710449,76.811419,40.2125
124507,28.698289,76.938689,22.6669
124508,28.673458,76.868149,277.2248
124513,29.006786,76.370888,46.5412
124514,29.022669,76.480476,221.2109
125001,29.05791,75.607929,951.6973
125004,29.132444,75.655097,146.276
125005,29.205041,75.81231,121.4434
125006,29.077653,75.806204,101.1023
125007,29.123598,75.700069,8.4067
125011,29.259002,75.733947,210.7475
125033,29.129153,75.995606,689.3554
125037,28.976207,75.838253,109.7458
125038,29.181851,76.232984,137.3885
125039,29.300031,76.118735,433.2391
125042,29.082582,76.216481,278.6418
125044,29.117678,75.75483,180.9884
125047,29.369621,75.654075,329.4985
125048,29.426039,75.556828,90.6811
125049,29.214964,76.018463,159.4251
125050,29.524986,75.426391,749.4682
125051,29.681864,75.53133,710.2248
125052,29.270872,75.490573,691.6088
125053,29.365542,75.329206,351.9797
125054,29.525809,75.232992,136.26
125055,29.450074,74.972561,708.3782
125056,29.557618,75.057619,9.0796
125058,29.453045,75.273006,58.0634
125060,29.541935,75.134423,273.8711
125075,29.589539,74.698286,468.1356
125076,29.583875,74.862615,261.9705
125077,29.680968,74.936867,370.0076
125078,29.686464,75.087217,319.2234
125101,29.79369,74.549651,171.1614
125102,29.434377,74.693134,550.3074
125103,29.741319,74.729521,511.402
125104,29.894024,74.743669,642.8443
125106,29.674495,75.727196,166.7566
125110,29.344861,75.147303,600.166
125111,29.523466,75.676889,397.622
125112,29.414095,75.782768,202.2734
125113,29.517392,75.88101,379.657
125120,29.659107,75.862811,409.7247
125121,29.362819,75.926944,576.4533
125133,29.774258,75.775773,134.8818
125201,29.805804,75.037539,583.1482
126101,29.133879,76.415257,274.366
126102,29.312491,76.308294,471.5258
126110,29.392904,76.468817,105.2392
126111,29.487865,76.434501,177.3244
126112,29.387693,76.638923,424.7723
126113,29.313039,76.52356,249.6064
126114,29.222519,76.37672,242.9019
126115,29.471411,76.189259,498.4103
126116,29.675747,76.090967,754.2495
126125,29.48927,76.33484,281.6844
126152,29.532622,76.034365,203.5118
127021,28.778779,76.138085,290.7042
127022,28.502285,76.266227,143.8592
127025,28.766581,76.34319,72.9865
127026,28.60081,76.101074,192.2864
127027,28.870003,76.231984,62.7492
127028,28.669353,75.646801,296.1024
127029,28.70928,75.854048,244.893
127030,28.634792,75.940083,263.7153
127031,28.897505,76.16685,170.8356
127032,28.943088,76.041414,306.5901
127035,28.960464,75.929309,179.1887
127040,28.844445,75.856409,441.8356
127041,28.996067,76.124588,144.4681
127042,28.695364,76.279554,138.8024
127043,28.765787,75.71536,238.2939
127045,28.965148,75.602279,39.1761
127046,28.848999,75.596972,555.8571
127111,28.804558,76.011378,198.6143
127114,28.849816,76.305038,83.0104
127201,28.535671,75.768863,510.1155
127306,28.588528,76.23662,256.7905
127307,28.648847,76.375694,202.5577
127308,28.520534,75.918877,300.5866
127309,28.729863,76.216955,97.3522
127310,28.482859,76.128534,191.0254
127311,28.700551,76.123062,195.6967
127312,28.489062,76.028368,175.5897
131001,28.991311,77.009384,256.4348
131021,28.987986,77.152576,101.8615
131022,29.009367,76.887733,96.3496
131023,28.922804,77.172954,88.5285
131024,29.070611,76.900694,104.782
131027,29.049337,77.118835,115.2788
131028,28.868389,77.149622,34.7398
131029,28.915514,77.092109,62.2526
131030,28.896976,77.133041,9.2679
131039,29.090664,77.079941,56.8692
131101,29.145127,77.006927,250.2284
131102,29.130956,76.907462,107.2586
131103,28.885318,77.014774,86.6801
131301,29.114849,76.696159,415.0312
131302,29.200995,76.583441,167.558
131304,29.126277,76.545012,130.8945
131305,29.161767,76.805483,93.8599
131306,29.216882,76.744533,117.3786
131402,28.886453,76.900855,243.5392
131403,28.917238,76.947338,48.0462
131408,28.970103,76.809741,87.8229
131409,29.024684,76.77098,95.6766
132001,29.690516,76.984906,380.1638
132022,29.728888,77.113999,59.7643
132023,29.748121,77.063506,84.9344
132024,29.700512,76.751821,295.187
132036,29.624154,76.834404,201.1159
132037,29.620843,76.964908,98.6655
132039,29.545787,76.593021,404.1125
132040,29.539151,76.838355,88.9967
132041,29.880828,77.052645,238.1071
132046,29.520621,76.726232,205.77
132054,29.866556,77.141943,207.528
132101,29.259871,77.012076,210.182
132102,29.189704,77.039829,29.5126
132103,29.425452,77.03409,273.7185
132104,29.336187,77.086668,114.9101
132105,29.367924,76.867596,102.9066
132106,29.365077,76.949315,138.6126
132107,29.282354,76.772589,330.2334
132108,29.321559,76.996065,43.7538
132113,29.384865,76.790948,207.496
132114,29.53564,77.002075,418.3397
132115,29.199689,77.123789,55.5673
132116,29.788773,76.904511,228.2599
132117,29.882664,76.949328,185.5332
132122,29.240153,77.097487,78.34
132140,29.474993,76.857591,81.1738
132145,29.279932,76.910335,80.3794
132157,29.843357,76.773747,211.9268
133001,30.350495,76.829489,105.9197
133004,30.285194,76.852208,52.0494
133005,30.372918,76.878649,10.8024
133006,30.328768,76.877442,12.7206
133010,30.38503,76.863784,3.8483
133101,30.284079,76.931619,62.9244
133102,30.234147,76.910382,68.17
133103,30.211743,77.156656,252.6612
133104,30.334581,76.961422,126.8413
133201,30.235055,77.023273,76.9156
133202,30.256469,77.11571,42.5088
133203,30.301517,77.059278,123.257
133204,30.427876,77.266264,232.5492
133205,30.180549,77.017511,132.1945
133206,30.33772,77.198565,139.3483
133207,30.255717,77.049891,13.6875
133301,30.771877,76.880638,21.8888
133302,30.853654,76.910278,44.229
134003,30.382249,76.765734,73.2527
134005,30.337265,76.79873,6.8651
134007,30.396185,76.801426,9.6382
134008,30.242768,76.700726,368.5738
134101,30.795943,76.917882,29.9604
134102,30.853548,76.841563,109.7465
134103,30.626787,76.914946,6.6659
134104,30.767686,76.96557,101.1358
134105,30.752016,76.910668,1.0756
134107,30.721547,76.902451,56.6718
134108,30.705729,76.855567,3.4766
134109,30.671841,76.902554,65.6712
134112,30.682734,76.856978,3.3433
134113,30.673857,76.839583,6.7572
134114,30.74407,76.854537,20.7854
134116,30.661834,76.882463,1.7635
134117,30.668755,76.860042,6.7215
134118,30.556548,76.965472,204.3968
134201,30.444767,76.949756,99.9756
134202,30.440686,77.028608,169.2014
134203,30.439193,77.119713,341.1907
134204,30.593781,77.02858,151.3073
134205,30.664974,77.076211,358.6671
135001,30.094795,77.288799,160.8579
135002,30.136758,77.221019,78.533
135003,30.216725,77.282149,178.8733
135004,30.138157,77.341697,24.1294
135021,30.259,77.466975,86.7151
135101,30.168738,77.411329,178.3918
135102,30.345373,77.338584,262.4654
135103,30.298765,77.393972,208.6423
135106,30.341866,77.522671,236.3076
135133,30.038881,77.168206,393.1386
136020,29.884905,76.607332,114.9627
136021,29.821343,76.643625,120.0563
136026,29.709893,76.613969,139.016
136027,29.789254,76.408747,884.2896
136030,29.95417,76.526288,124.0276
136033,29.920991,76.353541,182.5427
136034,30.060271,76.370981,433.6919
136035,29.978883,76.247348,220.7938
136038,29.907913,76.854324,34.2825
136042,29.772208,76.608073,135.3068
136043,29.678702,76.537944,177.9984
136044,29.573235,76.477835,143.6974
136117,29.677489,76.286244,481.6983
136118,29.972034,76.846174,75.775
136119,29.974045,76.763978,277.0448
136128,30.014369,76.568949,344.5197
136129,30.041746,76.685557,254.0359
136130,30.114357,76.770484,96.902
136131,29.997137,76.902636,186.9792
136132,30.021101,77.034374,258.8063
136135,30.152677,76.863893,306.6689
136136,30.173565,76.73346,97.421
136156,30.093567,76.97095,154.4798
